household_id,census_division,census_region,driver_count,household_income,household_size,household_workers,home_type,household_location,number_adults_household,vehicles_per_household,travel_date,travel_day,urban,vehicle_type,hybrid,make,vehicle_age,vehicle_commercial,vehicle_delivery,vehicle_rideshare,fuel_type,vehicle_year
9000013081,New England,Northeast,2,"$50,000 to $74,999",2,1,One-family detached,Rural,2,3,202202,Thursday,Not in an urban area,Pickup Truck,No,Dodge,4,No,,,Gas,2018
9000013081,New England,Northeast,2,"$50,000 to $74,999",2,1,One-family detached,Rural,2,3,202202,Thursday,Not in an urban area,Automobile/car/stationwagon,No,Suppressed for confidential reason,14,No,,,Gas,2008
9000013083,New England,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Rural,2,2,202202,Friday,Not in an urban area,Automobile/car/stationwagon,No,Toyota,6,No,,,Gas,2016
9000013083,New England,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Rural,2,2,202202,Friday,Not in an urban area,Automobile/car/stationwagon,No,Subaru,3,No,,,Gas,2019
9000013086,New England,Northeast,2,"$50,000 to $74,999",2,0,One-family detached,Urban,2,2,202201,Sunday,In an urban area,Automobile/car/stationwagon,No,Jeep,8,No,,,Gas,2014
9000013086,New England,Northeast,2,"$50,000 to $74,999",2,0,One-family detached,Urban,2,2,202201,Sunday,In an urban area,Automobile/car/stationwagon,No,Jeep,4,No,,,Gas,2018
9000013099,New England,Northeast,2,"$175,000 or more",2,2,One-family detached,Urban,2,2,202202,Wednesday,In an urban area,Automobile/car/stationwagon,Yes,Chevrolet,2,No,,,Electric only,2020
9000013099,New England,Northeast,2,"$175,000 or more",2,2,One-family detached,Urban,2,2,202202,Wednesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Volkswagen,1,No,,,Gas,2021
9000013104,New England,Northeast,3,"$50,000 to $74,999",3,0,Building with 2 or more apartments,Urban,3,3,202202,Tuesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,BMV,16,No,,,Gas,2006
9000013104,New England,Northeast,3,"$50,000 to $74,999",3,0,Building with 2 or more apartments,Urban,3,3,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,BMV,14,No,,,Gas,2008
9000013104,New England,Northeast,3,"$50,000 to $74,999",3,0,Building with 2 or more apartments,Urban,3,3,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,Mazda,7,No,,,Gas,2015
9000013122,New England,Northeast,3,"$175,000 or more",3,2,One-family detached,Rural,3,2,202203,Saturday,Not in an urban area,Automobile/car/stationwagon,No,Audi,3,No,,,Gas,2019
9000013122,New England,Northeast,3,"$175,000 or more",3,2,One-family detached,Rural,3,2,202203,Saturday,Not in an urban area,Automobile/car/stationwagon,No,Honda,3,No,,,Gas,2019
9000013145,New England,Northeast,1,"$50,000 to $74,999",1,1,One-family detached,Urban,1,1,202202,Saturday,In an urban area,Automobile/car/stationwagon,No,Mazda,6,No,,,Gas,2016
9000013148,New England,Northeast,2,"$50,000 to $74,999",2,0,One-family detached,Rural,2,2,202202,Friday,Not in an urban area,Pickup Truck,No,Nissan/Datsun,2,No,,,Gas,2020
9000013148,New England,Northeast,2,"$50,000 to $74,999",2,0,One-family detached,Rural,2,2,202202,Friday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Hyundai,2,No,,,Gas,2020
9000013158,New England,Northeast,2,"$35,000 to $49,999",2,0,One-family detached,Rural,2,2,202202,Wednesday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Subaru,6,No,,,Gas,2016
9000013158,New England,Northeast,2,"$35,000 to $49,999",2,0,One-family detached,Rural,2,2,202202,Wednesday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Suppressed for confidential reason,25,No,,,Gas,1997
9000013164,New England,Northeast,2,"$35,000 to $49,999",8,1,Building with 2 or more apartments,Urban,8,1,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,Subaru,12,No,,,Gas,2010
9000013165,New England,Northeast,1,"$35,000 to $49,999",1,1,Building with 2 or more apartments,Urban,1,3,202201,Sunday,In an urban area,Automobile/car/stationwagon,No,Honda,10,No,,,Gas,2012
9000013165,New England,Northeast,1,"$35,000 to $49,999",1,1,Building with 2 or more apartments,Urban,1,3,202201,Sunday,In an urban area,Pickup Truck,No,Chevrolet,19,No,,,Gas,2003
9000013165,New England,Northeast,1,"$35,000 to $49,999",1,1,Building with 2 or more apartments,Urban,1,3,202201,Sunday,In an urban area,Motorcycle/Moped,No,Honda,4,No,,,Gas,2018
9000013167,New England,Northeast,3,"$100,000 to $124,999",4,2,Building with 2 or more apartments,Urban,3,2,202202,Monday,In an urban area,Pickup Truck,No,Toyota,2,No,,,Gas,2020
9000013167,New England,Northeast,3,"$100,000 to $124,999",4,2,Building with 2 or more apartments,Urban,3,2,202202,Monday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",Yes,Toyota,1,No,,,"Hybrid, gas/electric, non plug-in",2021
9000013183,New England,Northeast,2,"$75,000 to $99,999",6,2,One-family detached,Urban,2,2,202203,Thursday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Honda,9,No,,,Gas,2013
9000013183,New England,Northeast,2,"$75,000 to $99,999",6,2,One-family detached,Urban,2,2,202203,Thursday,In an urban area,Van (Minivan/Cargo/Passenger),Yes,Toyota,1,No,,,"Hybrid, gas/electric, non plug-in",2021
9000013206,New England,Northeast,1,"$25,000 to $34,999",3,1,Building with 2 or more apartments,Urban,1,1,202202,Tuesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Mercedes-Benz,2,No,,,Gas,2020
9000013216,New England,Northeast,1,"$125,000 to $149,999",1,1,One-family detached,Urban,1,1,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Volkswagen,8,No,,,Gas,2014
9000013237,New England,Northeast,2,"$175,000 or more",2,2,Building with 2 or more apartments,Rural,2,2,202202,Saturday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Subaru,10,No,,,Gas,2012
9000013237,New England,Northeast,2,"$175,000 or more",2,2,Building with 2 or more apartments,Rural,2,2,202202,Saturday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,BMV,1,No,,,Gas,2021
9000013246,New England,Northeast,1,"$175,000 or more",1,1,One-family detached,Urban,1,1,202202,Thursday,In an urban cluster,Automobile/car/stationwagon,No,Volvo,5,No,,,Gas,2017
9000013255,New England,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202202,Sunday,In an urban area,Automobile/car/stationwagon,No,Pontiac,17,No,,,Gas,2005
9000013255,New England,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202202,Sunday,In an urban area,Automobile/car/stationwagon,No,Hyundai,9,No,,,Gas,2013
9000013256,New England,Northeast,1,"$125,000 to $149,999",1,0,One-family detached,Rural,1,1,202202,Monday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Toyota,8,No,,,Gas,2014
9000013265,New England,Northeast,2,"$35,000 to $49,999",2,0,One-family detached,Rural,2,2,202211,Wednesday,Not in an urban area,Pickup Truck,No,Toyota,7,No,,,Gas,2015
9000013265,New England,Northeast,2,"$35,000 to $49,999",2,0,One-family detached,Rural,2,2,202211,Wednesday,Not in an urban area,Automobile/car/stationwagon,No,Toyota,10,No,,,Gas,2012
9000013267,New England,Northeast,1,"$25,000 to $34,999",1,0,Building with 2 or more apartments,Rural,1,1,202202,Wednesday,Not in an urban area,Automobile/car/stationwagon,No,Chevrolet,9,No,,,Gas,2013
9000013268,New England,Northeast,2,"$50,000 to $74,999",4,2,One-family detached,Urban,2,2,202202,Sunday,In an urban cluster,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Volvo,16,No,,,Gas,2006
9000013268,New England,Northeast,2,"$50,000 to $74,999",4,2,One-family detached,Urban,2,2,202202,Sunday,In an urban cluster,Automobile/car/stationwagon,No,Acura,16,No,,,Gas,2006
9000013269,New England,Northeast,2,"$50,000 to $74,999",2,0,One-family detached,Urban,2,2,202202,Friday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Jeep,8,No,,,Gas,2014
9000013269,New England,Northeast,2,"$50,000 to $74,999",2,0,One-family detached,Urban,2,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Subaru,7,No,,,Gas,2015
9000013284,New England,Northeast,3,"$175,000 or more",3,3,One-family detached,Urban,3,3,202202,Friday,In an urban cluster,Van (Minivan/Cargo/Passenger),No,Chrysler,4,No,,,Gas,2018
9000013284,New England,Northeast,3,"$175,000 or more",3,3,One-family detached,Urban,3,3,202202,Friday,In an urban cluster,Pickup Truck,No,Ford,6,No,,,Gas,2016
9000013284,New England,Northeast,3,"$175,000 or more",3,3,One-family detached,Urban,3,3,202202,Friday,In an urban cluster,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Jeep,13,No,,,Gas,2009
9000013285,New England,Northeast,1,"$15,000 to $24,999",1,0,One-family detached,Rural,1,2,202202,Sunday,Not in an urban area,Pickup Truck,No,Toyota,18,No,,,Gas,2004
9000013285,New England,Northeast,1,"$15,000 to $24,999",1,0,One-family detached,Rural,1,2,202202,Sunday,Not in an urban area,Automobile/car/stationwagon,No,Audi,17,No,,,Gas,2005
9000013287,New England,Northeast,2,"$75,000 to $99,999",2,1,One-family detached,Rural,2,2,202202,Tuesday,Not in an urban area,Automobile/car/stationwagon,No,Volvo,9,No,,,Gas,2013
9000013287,New England,Northeast,2,"$75,000 to $99,999",2,1,One-family detached,Rural,2,2,202202,Tuesday,Not in an urban area,Automobile/car/stationwagon,No,Volvo,3,No,,,Gas,2019
9000013293,New England,Northeast,2,"$50,000 to $74,999",2,1,One-family detached,Rural,2,2,202202,Sunday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Toyota,7,No,,,Gas,2015
9000013293,New England,Northeast,2,"$50,000 to $74,999",2,1,One-family detached,Rural,2,2,202202,Sunday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Toyota,8,No,,,Gas,2014
9000013313,Middle Atlantic,Northeast,1,"$10,000 to $14,999",1,0,One-family detached,Urban,1,1,202201,Friday,In an urban area,Automobile/car/stationwagon,Yes,Ford,9,No,,,"Hybrid, gas/electric, non plug-in",2013
9000013356,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202202,Sunday,In an urban area,Automobile/car/stationwagon,No,Honda,9,No,,,Gas,2013
9000013356,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202202,Sunday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Toyota,5,No,,,Gas,2017
9000013360,Middle Atlantic,Northeast,4,"$125,000 to $149,999",4,3,One-family detached,Urban,4,4,202202,Friday,In an urban area,Pickup Truck,No,Chevrolet,4,No,,,Gas,2018
9000013360,Middle Atlantic,Northeast,4,"$125,000 to $149,999",4,3,One-family detached,Urban,4,4,202202,Friday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Hyundai,5,No,,,Gas,2017
9000013360,Middle Atlantic,Northeast,4,"$125,000 to $149,999",4,3,One-family detached,Urban,4,4,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Chevrolet,14,No,,,Gas,2008
9000013360,Middle Atlantic,Northeast,4,"$125,000 to $149,999",4,3,One-family detached,Urban,4,4,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Chevrolet,19,No,,,Gas,2003
9000013362,Middle Atlantic,Northeast,2,"$125,000 to $149,999",4,2,One-family detached,Urban,2,2,202202,Wednesday,In an urban area,Pickup Truck,No,Other make,5,Yes,No,No,Gas,2017
9000013362,Middle Atlantic,Northeast,2,"$125,000 to $149,999",4,2,One-family detached,Urban,2,2,202202,Wednesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,GMC,5,No,,,Gas,2017
9000013366,Middle Atlantic,Northeast,3,"$150,000 to $174,999",3,2,One-family detached,Urban,3,3,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Subaru,3,No,,,Gas,2019
9000013366,Middle Atlantic,Northeast,3,"$150,000 to $174,999",3,2,One-family detached,Urban,3,3,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Other make,6,No,,,Gas,2016
9000013366,Middle Atlantic,Northeast,3,"$150,000 to $174,999",3,2,One-family detached,Urban,3,3,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Subaru,2,No,,,Gas,2020
9000013373,Middle Atlantic,Northeast,1,"$35,000 to $49,999",1,1,Mobile home,Urban,1,2,202202,Friday,In an urban area,Pickup Truck,No,Chevrolet,26,No,,,Gas,1996
9000013373,Middle Atlantic,Northeast,1,"$35,000 to $49,999",1,1,Mobile home,Urban,1,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Subaru,13,Yes,No,No,Gas,2009
9000013380,Middle Atlantic,Northeast,2,"$175,000 or more",3,2,One-family detached,Urban,3,2,202202,Wednesday,In an urban area,Pickup Truck,No,GMC,2,No,,,Gas,2020
9000013380,Middle Atlantic,Northeast,2,"$175,000 or more",3,2,One-family detached,Urban,3,2,202202,Wednesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Jeep,3,No,,,Gas,2019
9000013382,Middle Atlantic,Northeast,1,"$75,000 to $99,999",1,1,Building with 2 or more apartments,Urban,1,1,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,Honda,4,No,,,Gas,2018
9000013398,Middle Atlantic,Northeast,2,"$50,000 to $74,999",2,1,"Townhome, Condo",Urban,2,2,202202,Thursday,In an urban area,Automobile/car/stationwagon,No,Hyundai,3,No,,,Gas,2019
9000013398,Middle Atlantic,Northeast,2,"$50,000 to $74,999",2,1,"Townhome, Condo",Urban,2,2,202202,Thursday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Jeep,18,No,,,Gas,2004
9000013411,Middle Atlantic,Northeast,1,"$75,000 to $99,999",1,1,Building with 2 or more apartments,Urban,1,1,202202,Thursday,In an urban area,Automobile/car/stationwagon,No,Toyota,5,No,,,Gas,2017
9000013438,Middle Atlantic,Northeast,2,"$50,000 to $74,999",3,2,One-family detached,Urban,2,2,202202,Tuesday,In an urban cluster,Automobile/car/stationwagon,No,Subaru,7,No,,,Gas,2015
9000013438,Middle Atlantic,Northeast,2,"$50,000 to $74,999",3,2,One-family detached,Urban,2,2,202202,Tuesday,In an urban cluster,Automobile/car/stationwagon,No,Subaru,4,No,,,Gas,2018
9000013509,Middle Atlantic,Northeast,3,"$15,000 to $24,999",3,1,One-family detached,Rural,2,2,202202,Tuesday,Not in an urban area,Automobile/car/stationwagon,No,Honda,22,No,,,Gas,2000
9000013509,Middle Atlantic,Northeast,3,"$15,000 to $24,999",3,1,One-family detached,Rural,2,2,202202,Tuesday,Not in an urban area,Automobile/car/stationwagon,No,KIA,12,No,,,Gas,2010
9000013512,Middle Atlantic,Northeast,1,"$50,000 to $74,999",1,1,One-family detached,Urban,1,1,202202,Sunday,In an urban area,Automobile/car/stationwagon,No,Nissan/Datsun,15,No,,,Gas,2007
9000013514,Middle Atlantic,Northeast,1,"$25,000 to $34,999",1,0,"Townhome, Condo",Rural,1,1,202202,Sunday,Not in an urban area,Automobile/car/stationwagon,No,Subaru,5,No,,,Gas,2017
9000013519,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,1,One-family detached,Urban,2,2,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,Lincoln,3,No,,,Gas,2019
9000013519,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,1,One-family detached,Urban,2,2,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,Acura,9,No,,,Gas,2013
9000013525,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202201,Monday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Subaru,2,No,,,Gas,2020
9000013525,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Subaru,7,No,,,Gas,2015
9000013533,Middle Atlantic,Northeast,2,"$35,000 to $49,999",2,1,Building with 2 or more apartments,Urban,2,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Toyota,22,No,,,Gas,2000
9000013533,Middle Atlantic,Northeast,2,"$35,000 to $49,999",2,1,Building with 2 or more apartments,Urban,2,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Volvo,14,No,,,Gas,2008
9000013537,Middle Atlantic,Northeast,2,"$50,000 to $74,999",3,2,One-family detached,Urban,3,2,202202,Monday,In an urban area,Automobile/car/stationwagon,Yes,Toyota,9,Yes,Yes,No,"Hybrid, gas/electric, non plug-in",2013
9000013537,Middle Atlantic,Northeast,2,"$50,000 to $74,999",3,2,One-family detached,Urban,3,2,202202,Monday,In an urban area,Automobile/car/stationwagon,No,Subaru,18,No,,,Gas,2004
9000013541,Middle Atlantic,Northeast,1,"$175,000 or more",1,1,Building with 2 or more apartments,Urban,1,1,202203,Wednesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Jeep,5,No,,,Gas,2017
9000013572,Middle Atlantic,Northeast,1,"$150,000 to $174,999",3,1,Building with 2 or more apartments,Urban,1,1,202201,Thursday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Volvo,6,No,,,Gas,2016
9000013589,Middle Atlantic,Northeast,2,"$125,000 to $149,999",2,0,"Townhome, Condo",Urban,2,2,202202,Tuesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",Yes,Ford,13,No,,,"Hybrid, gas/electric, non plug-in",2009
9000013589,Middle Atlantic,Northeast,2,"$125,000 to $149,999",2,0,"Townhome, Condo",Urban,2,2,202202,Tuesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",Yes,Honda,1,No,,,"Hybrid, gas/electric, non plug-in",2021
9000013594,Middle Atlantic,Northeast,2,"$150,000 to $174,999",2,2,One-family detached,Urban,2,3,202201,Thursday,In an urban area,Automobile/car/stationwagon,No,Jeep,7,No,,,Gas,2015
9000013594,Middle Atlantic,Northeast,2,"$150,000 to $174,999",2,2,One-family detached,Urban,2,3,202201,Thursday,In an urban area,Pickup Truck,No,Dodge,7,No,,,Diesel,2015
9000013594,Middle Atlantic,Northeast,2,"$150,000 to $174,999",2,2,One-family detached,Urban,2,3,202201,Thursday,In an urban area,Automobile/car/stationwagon,No,Hyundai,14,No,,,Gas,2008
9000013598,Middle Atlantic,Northeast,2,"$35,000 to $49,999",2,0,One-family detached,Urban,2,1,202201,Wednesday,In an urban area,Automobile/car/stationwagon,No,Nissan/Datsun,9,No,,,Gas,2013
9000013613,Middle Atlantic,Northeast,1,"$50,000 to $74,999",1,1,One-family detached,Urban,1,1,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Ford,16,No,,,Gas,2006
9000013626,Middle Atlantic,Northeast,2,"$150,000 to $174,999",2,2,One-family detached,Urban,2,2,202202,Sunday,In an urban area,Automobile/car/stationwagon,Yes,Toyota,4,No,,,Plug-in hybrid,2018
9000013626,Middle Atlantic,Northeast,2,"$150,000 to $174,999",2,2,One-family detached,Urban,2,2,202202,Sunday,In an urban area,Automobile/car/stationwagon,Yes,Toyota,9,No,,,"Hybrid, gas/electric, non plug-in",2013
9000013657,Middle Atlantic,Northeast,2,"$50,000 to $74,999",2,2,"Townhome, Condo",Urban,2,2,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Hyundai,7,No,,,Gas,2015
9000013657,Middle Atlantic,Northeast,2,"$50,000 to $74,999",2,2,"Townhome, Condo",Urban,2,2,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Hyundai,8,No,,,Gas,2014
9000013670,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202201,Sunday,In an urban area,Automobile/car/stationwagon,No,Ford,20,No,,,Gas,2002
9000013670,Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,0,One-family detached,Urban,2,2,202201,Sunday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Hyundai,1,No,,,Gas,2021
9000013703,Middle Atlantic,Northeast,2,"$100,000 to $124,999",2,1,One-family detached,Urban,2,1,202202,Sunday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Subaru,3,No,,,Gas,2019
9000013704,Middle Atlantic,Northeast,2,"$25,000 to $34,999",2,0,One-family detached,Urban,2,2,202201,Wednesday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Mazda,1,No,,,Gas,2021
9000013704,Middle Atlantic,Northeast,2,"$25,000 to $34,999",2,0,One-family detached,Urban,2,2,202201,Wednesday,In an urban area,Pickup Truck,No,Ford,5,No,,,Gas,2017
9000013707,Middle Atlantic,Northeast,1,"$50,000 to $74,999",1,1,Building with 2 or more apartments,Urban,1,1,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Audi,7,No,,,Gas,2015
9000013761,Middle Atlantic,Northeast,1,"$25,000 to $34,999",1,0,One-family detached,Urban,1,1,202201,Monday,In an urban area,Automobile/car/stationwagon,No,Honda,3,No,,,Gas,2019
9000013772,Middle Atlantic,Northeast,2,"$15,000 to $24,999",2,0,One-family detached,Rural,2,2,202201,Monday,Not in an urban area,Automobile/car/stationwagon,No,Chrysler,17,No,,,Gas,2005
9000013772,Middle Atlantic,Northeast,2,"$15,000 to $24,999",2,0,One-family detached,Rural,2,2,202201,Monday,Not in an urban area,Pickup Truck,No,Chevrolet,29,No,,,Gas,1993
9000013812,Middle Atlantic,Northeast,4,"$150,000 to $174,999",4,3,One-family detached,Urban,4,4,202202,Monday,In an urban area,Pickup Truck,No,Chevrolet,2,Yes,No,No,Gas,2020
9000013812,Middle Atlantic,Northeast,4,"$150,000 to $174,999",4,3,One-family detached,Urban,4,4,202202,Monday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Chevrolet,3,No,,,Gas,2019
9000013812,Middle Atlantic,Northeast,4,"$150,000 to $174,999",4,3,One-family detached,Urban,4,4,202202,Monday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Hyundai,1,No,,,Gas,2021
9000013812,Middle Atlantic,Northeast,4,"$150,000 to $174,999",4,3,One-family detached,Urban,4,4,202202,Monday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Hyundai,5,No,,,Gas,2017
9000013821,Middle Atlantic,Northeast,3,"$75,000 to $99,999",3,1,One-family detached,Urban,3,6,202202,Thursday,In an urban area,Automobile/car/stationwagon,No,Pontiac,40,No,,,Gas,1982
9000013821,Middle Atlantic,Northeast,3,"$75,000 to $99,999",3,1,One-family detached,Urban,3,6,202202,Thursday,In an urban area,Automobile/car/stationwagon,No,Chevrolet,40,No,,,Gas,1982
9000013821,Middle Atlantic,Northeast,3,"$75,000 to $99,999",3,1,One-family detached,Urban,3,6,202202,Thursday,In an urban area,Automobile/car/stationwagon,No,Chevrolet,40,No,,,Gas,1982
9000013821,Middle Atlantic,Northeast,3,"$75,000 to $99,999",3,1,One-family detached,Urban,3,6,202202,Thursday,In an urban area,Automobile/car/stationwagon,No,Pontiac,24,No,,,Gas,1998
9000013821,Middle Atlantic,Northeast,3,"$75,000 to $99,999",3,1,One-family detached,Urban,3,6,202202,Thursday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Pontiac,21,No,,,Gas,2001
9000013821,Middle Atlantic,Northeast,3,"$75,000 to $99,999",3,1,One-family detached,Urban,3,6,202202,Thursday,In an urban area,Motorcycle/Moped,No,Suppressed for confidential reason,14,No,,,Gas,2008
9000013826,Middle Atlantic,Northeast,2,"$175,000 or more",2,1,"Townhome, Condo",Urban,2,2,202202,Thursday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,BMV,7,No,,,Gas,2015
9000013826,Middle Atlantic,Northeast,2,"$175,000 or more",2,1,"Townhome, Condo",Urban,2,2,202202,Thursday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Honda,5,No,,,Gas,2017
