Time,leader_position(m),follower_position(m),leader_speed(m/s),follower_speed(m/s),leader_acc(m/s^2),follower_acc(m/s^2),trajectory_number
6.2,108.36,85.92,11.11,10.695,-4.3282,-7.7724,1
6.3,109.47,86.989,10.677,9.9182,-4.9378,1.2497,1
6.4,110.54,87.981,10.183,10.043,-0.73152,4.572,1
6.5,111.56,88.985,10.11,10.5,1.585,3.3223,1
6.6,112.57,90.035,10.269,10.833,3.2004,0.24384,1
6.7,113.6,91.119,10.589,10.857,1.585,-1.4935,1
6.8,114.65,92.204,10.747,10.708,-0.79248,-1.0668,1
6.9,115.73,93.275,10.668,10.601,-0.03048,1.2192,1
7,116.8,94.335,10.665,10.723,0.03048,1.4021,1
7.1,117.86,95.408,10.668,10.863,0,-1.7678,1
7.2,118.93,96.494,10.668,10.686,0,-5.334,1
7.3,120,97.563,10.668,10.153,0,-4.2367,1
7.4,121.06,98.578,10.668,9.7292,-0.06096,-4.2977,1
7.5,122.13,99.551,10.662,9.2994,0.12192,-5.3035,1
7.6,123.2,100.48,10.674,8.7691,0.36576,-1.6764,1
7.7,124.26,101.36,10.711,8.6015,-0.06096,1.3411,1
7.8,125.33,102.22,10.705,8.7356,-1.4326,2.4689,1
7.9,126.4,103.09,10.561,8.9825,-3.2004,1.7069,1
8,127.46,103.99,10.241,9.1531,-4.1453,0.33528,1
8.1,128.49,104.9,9.8268,9.1867,-3.1699,-0.36576,1
8.2,129.47,105.82,9.5098,9.1501,-1.463,0.1524,1
8.3,130.42,106.74,9.3635,9.1653,-0.03048,0.39624,1
8.4,131.36,107.66,9.3604,9.205,0.33528,-0.97536,1
8.5,132.29,108.58,9.3939,9.1074,0.12192,-4.4806,1
8.6,133.23,109.49,9.4061,8.6594,-0.03048,-4.7854,1
8.7,134.17,110.35,9.4031,8.1808,2.84E-12,-4.9073,1
8.8,135.11,111.17,9.4031,7.6901,-2.84E-12,-4.0843,1
8.9,136.05,111.94,9.4031,7.2817,-0.03048,3.8405,1
9,136.99,112.67,9.4,7.6657,0.03048,4.6634,1
9.1,137.93,113.43,9.4031,8.1321,2.84E-12,2.987,1
9.2,138.87,114.25,9.4031,8.4308,-2.84E-12,-1.0363,1
9.3,139.81,115.09,9.4031,8.3271,-0.03048,-0.27432,1
9.4,140.75,115.92,9.4,8.2997,0.03048,0.06096,1
9.5,141.69,116.75,9.4031,8.3058,2.84E-12,-1.42E-12,1
9.6,142.63,117.58,9.4031,8.3058,-2.84E-12,0,1
9.7,143.57,118.41,9.4031,8.3058,0,1.42E-12,1
9.8,144.51,119.24,9.4031,8.3058,2.84E-12,-2.84E-12,1
9.9,145.45,120.08,9.4031,8.3058,-0.03048,2.84E-12,1
10,146.39,120.91,9.4,8.3058,0.03048,-2.84E-12,1
10.1,147.33,121.74,9.4031,8.3058,-0.03048,2.84E-12,1
10.2,148.27,122.57,9.4,8.3058,0.06096,0.03048,1
10.3,149.21,123.4,9.4061,8.3088,-0.03048,-0.1524,1
10.4,150.16,124.23,9.4031,8.2936,-0.09144,-0.33528,1
10.5,151.1,125.06,9.3939,8.2601,0.54864,0.21336,1
10.6,152.04,125.88,9.4488,8.2814,0.79248,1.7069,1
10.7,152.98,126.71,9.528,8.4521,-5.6388,3.4138,1
10.8,153.93,127.56,8.9642,8.7935,-5.0292,3.9624,1
10.9,154.83,128.44,8.4612,9.1897,-4.8463,3.4442,1
11,155.68,129.36,7.9766,9.5341,-6.5837,1.6764,1
11.1,156.47,130.31,7.3182,9.7018,-1.8898,0.21336,1
11.2,157.2,131.28,7.1293,9.7231,2.0726,-0.33528,1
11.3,157.92,132.25,7.3365,9.6896,2.1641,-0.1524,1
11.4,158.65,133.22,7.5529,9.6744,1.3106,0.03048,1
11.5,159.41,134.19,7.684,9.6774,-0.4572,0.03048,1
11.6,160.18,135.16,7.6383,9.6804,-0.3048,-0.03048,1
11.7,160.94,136.12,7.6078,9.6774,0.06096,0.03048,1
11.8,161.7,137.09,7.6139,9.6804,0.03048,-0.03048,1
11.9,162.46,138.06,7.617,9.6774,-0.03048,-2.84E-12,1
12,163.22,139.03,7.6139,9.6774,0.03048,0.03048,1
12.1,163.98,139.99,7.617,9.6804,-0.03048,-0.03048,1
12.2,164.75,140.96,7.6139,9.6774,0.06096,0,1
12.3,165.51,141.93,7.62,9.6774,-0.18288,0.03048,1
12.4,166.27,142.9,7.6017,9.6804,-0.27432,0.09144,1
12.5,167.03,143.87,7.5743,9.6896,0.27432,0.06096,1
12.6,167.79,144.84,7.6017,9.6957,1.4021,-0.39624,1
12.7,168.55,145.81,7.7419,9.6561,2.5908,-0.94488,1
12.8,169.32,146.77,8.001,9.5616,2.3774,-1.3411,1
12.9,170.12,147.73,8.2387,9.4275,1.0668,-0.97536,1
13,170.95,148.67,8.3454,9.3299,0.6096,-0.42672,1
13.1,171.78,149.6,8.4064,9.2873,1.2497,0.06096,1
13.2,172.62,150.53,8.5314,9.2934,2.3774,0.09144,1
13.3,173.47,151.46,8.7691,9.3025,2.1946,0.67056,1
13.4,174.35,152.39,8.9886,9.3696,0.1524,-0.54864,1
13.5,175.25,153.33,9.0038,9.3147,-1.9812,-2.3774,1
13.6,176.15,154.26,8.8057,9.0769,-3.0785,-2.7127,1
13.7,177.03,155.17,8.4978,8.8057,-2.5603,-4.0843,1
13.8,177.88,156.05,8.2418,8.3972,-0.88392,-4.1453,1
13.9,178.7,156.89,8.1534,7.9827,0.97536,-3.7795,1
14,179.52,157.69,8.2509,7.6048,1.9812,-4.8768,1
14.1,180.34,158.45,8.4491,7.1171,1.9202,-2.5298,1
14.2,181.19,159.16,8.6411,6.8641,1.6154,0.6096,1
14.3,182.05,159.84,8.8026,6.9251,1.4021,1.4021,1
14.4,182.93,160.54,8.9428,7.0653,1.2192,0.42672,1
14.5,183.83,161.24,9.0648,7.1079,0.97536,-0.03048,1
14.6,184.73,161.95,9.1623,7.1049,0.42672,1.1887,1
14.7,185.65,162.66,9.205,7.2238,-0.51816,2.0726,1
14.8,186.57,163.39,9.1531,7.431,-1.7374,1.9202,1
14.9,187.49,164.13,8.9794,7.623,-2.347,1.2802,1
15,188.38,164.89,8.7447,7.7511,-1.1278,0.54864,1
15.1,189.26,165.67,8.6319,7.8059,1.1278,0.3048,1
15.2,190.12,166.45,8.7447,7.8364,2.3165,0.09144,1
15.3,191,167.23,8.9764,7.8456,1.7069,-0.12192,1
15.4,191.89,168.02,9.147,7.8334,0.39624,-0.03048,1
15.5,192.81,168.8,9.1867,7.8303,-0.3048,0.03048,1
15.6,193.73,169.58,9.1562,7.8334,-0.18288,-2.84E-12,1
15.7,194.64,170.37,9.1379,7.8334,0.39624,0,1
15.8,195.56,171.15,9.1775,7.8334,-0.67056,-0.03048,1
15.9,196.47,171.93,9.1105,7.8303,-1.4021,0.03048,1
16,197.39,172.72,8.9703,7.8334,-0.51816,-0.03048,1
16.1,198.28,173.5,8.9184,7.8303,0.54864,0,1
16.2,199.17,174.28,8.9733,7.8303,1.3716,0.09144,1
16.3,200.07,175.06,9.1105,7.8395,0.70104,0.3048,1
16.4,200.98,175.85,9.1806,7.8699,-0.36576,-0.27432,1
16.5,201.9,176.64,9.144,7.8425,0,-1.3106,1
16.6,202.82,177.42,9.144,7.7114,0,-1.8593,1
16.7,203.73,178.19,9.144,7.5255,0,-0.51816,1
16.8,204.64,178.94,9.144,7.4737,-0.03048,1.9812,1
16.9,205.56,179.69,9.141,7.6718,0.03048,3.2309,1
17,206.47,180.46,9.144,7.9949,-2.84E-12,2.2555,1
17.1,207.39,181.26,9.144,8.2205,2.84E-12,0.6096,1
17.2,208.3,182.08,9.144,8.2814,0,-0.3048,1
17.3,209.22,182.91,9.144,8.2509,-0.06096,-0.21336,1
17.4,210.13,183.73,9.1379,8.2296,0.21336,0,1
17.5,211.04,184.56,9.1592,8.2296,0.24384,2.84E-12,1
17.6,211.96,185.38,9.1836,8.2296,-0.3048,-2.84E-12,1
17.7,212.88,186.2,9.1531,8.2296,-1.3411,0,1
17.8,213.79,187.02,9.019,8.2296,-2.3165,0,1
17.9,214.7,187.85,8.7874,8.2296,-2.7737,0,1
18,215.57,188.67,8.51,8.2296,-2.5908,2.84E-12,1
18.1,216.43,189.49,8.2509,8.2296,-2.7432,-2.84E-12,1
18.2,217.25,190.32,7.9766,8.2296,-2.3165,0,1
18.3,218.05,191.14,7.745,8.2296,-1.3106,0.03048,1
18.4,218.82,191.96,7.6139,8.2326,-0.36576,-0.09144,1
18.5,219.58,192.79,7.5773,8.2235,0.27432,-0.3048,1
18.6,220.34,193.61,7.6048,8.193,0.21336,0.12192,1
18.7,221.1,194.43,7.6261,8.2052,-0.06096,1.5545,1
18.8,221.87,195.25,7.62,8.3607,0.03048,2.0422,1
18.9,222.63,196.08,7.623,8.5649,-0.03048,2.0422,1
19,223.39,196.94,7.62,8.7691,0,2.1641,1
19.1,224.15,197.82,7.62,8.9855,-0.03048,1.7069,1
19.2,224.91,198.72,7.617,9.1562,0.03048,1.4326,1
19.3,225.68,199.63,7.62,9.2994,0,0.27432,1
19.4,226.44,200.56,7.62,9.3269,0,-0.39624,1
19.5,227.2,201.49,7.62,9.2873,0,0,1
19.6,227.96,202.42,7.62,9.2873,0,0.03048,1
19.7,228.72,203.35,7.62,9.2903,0,-2.84E-12,1
19.8,229.49,204.28,7.62,9.2903,0,-0.03048,1
19.9,230.25,205.21,7.62,9.2873,0,0.03048,1
20,231.01,206.14,7.62,9.2903,0,-2.84E-12,1
20.1,231.77,207.07,7.62,9.2903,-0.03048,2.84E-12,1
20.2,232.53,208,7.617,9.2903,0.03048,-0.03048,1
20.3,233.29,208.93,7.62,9.2873,0,5.68E-12,1
20.4,234.06,209.85,7.62,9.2873,0,-0.03048,1
20.5,234.82,210.78,7.62,9.2842,0,0.36576,1
20.6,235.58,211.71,7.62,9.3208,0.03048,0.42672,1
20.7,236.34,212.64,7.623,9.3635,-0.06096,-1.1278,1
20.8,237.11,213.58,7.617,9.2507,0.03048,-4.6634,1
20.9,237.87,214.51,7.62,8.7843,0,-4.1148,1
21,238.63,215.38,7.62,8.3729,0,-4.2062,1
21.1,239.39,216.22,7.62,7.9522,0,-4.572,1
21.2,240.15,217.02,7.62,7.495,-0.03048,-0.42672,1
21.3,240.91,217.77,7.617,7.4524,0.06096,1.1278,1
21.4,241.68,218.51,7.623,7.5651,0.21336,0.88392,1
21.5,242.44,219.27,7.6444,7.6535,-0.18288,-0.21336,1
21.6,243.2,220.03,7.6261,7.6322,-0.39624,-0.1524,1
21.7,243.97,220.8,7.5865,7.617,0.18288,0.03048,1
21.8,244.72,221.56,7.6048,7.62,1.8593,0,1
21.9,245.49,222.32,7.7907,7.62,4.3891,0,1
22,246.26,223.08,8.2296,7.62,3.5052,0,1
22.1,247.09,223.84,8.5801,7.62,4.2367,-2.84E-12,1
22.2,247.95,224.61,9.0038,7.62,1.6154,2.84E-12,1
22.3,248.85,225.37,9.1653,7.62,-0.18288,0,1
22.4,249.76,226.13,9.147,7.62,-0.64008,0,1
22.5,250.68,226.89,9.083,7.62,0.09144,0,1
22.6,251.58,227.65,9.0922,7.62,0.51816,0,1
22.7,252.49,228.42,9.144,7.62,0.48768,0,1
22.8,253.41,229.18,9.1928,7.62,0.33528,0.03048,1
22.9,254.33,229.94,9.2263,7.623,-0.51816,-0.3048,1
23,255.25,230.7,9.1745,7.5926,-1.9812,0.27432,1
23.1,256.17,231.46,8.9764,7.62,-4.2062,1.0058,1
23.2,257.07,232.22,8.5557,7.7206,-3.5357,-0.18288,1
23.3,257.92,233,8.2022,7.7023,-4.1453,-2.3774,1
23.4,258.74,233.77,7.7876,7.4646,-1.9507,-2.7127,1
23.5,259.52,234.51,7.5926,7.1933,-0.6096,0.9144,1
23.6,260.28,235.23,7.5316,7.2847,0.67056,5.9741,1
23.7,261.03,235.96,7.5987,7.8821,1.3716,4.1453,1
23.8,261.79,236.75,7.7358,8.2967,1.524,5.334,1
23.9,262.57,237.58,7.8882,8.8301,0.6096,-5.5474,1
24,263.35,238.46,7.9492,8.2753,-1.0973,-5.0597,1
24.1,264.15,239.29,7.8395,7.7694,-1.585,-5.1206,1
24.2,264.93,240.07,7.681,7.2573,-0.94488,-5.5474,1
24.3,265.7,240.79,7.5865,6.7026,0.03048,3.0175,1
24.4,266.46,241.46,7.5895,7.0043,0.3048,4.7244,1
24.5,267.22,242.16,7.62,7.4767,0.03048,4.2062,1
24.6,267.98,242.91,7.623,7.8974,-0.09144,3.4442,1
24.7,268.74,243.7,7.6139,8.2418,0.18288,1.4935,1
24.8,269.51,244.52,7.6322,8.3911,0.39624,1.4326,1
24.9,270.27,245.36,7.6718,8.5344,-0.3048,1.3716,1
25,271.04,246.22,7.6413,8.6716,-1.8593,0.94488,1
25.1,271.8,247.08,7.4554,8.766,-4.2062,0.18288,1
25.2,272.55,247.96,7.0348,8.7843,-3.5357,-0.54864,1
25.3,273.25,248.84,6.6812,8.7295,-4.2062,-0.70104,1
25.4,273.92,249.71,6.2606,8.6594,-1.8593,-0.09144,1
25.5,274.54,250.58,6.0747,8.6502,-0.27432,0.54864,1
25.6,275.15,251.44,6.0472,8.7051,0.33528,0.42672,1
25.7,275.75,252.31,6.0808,8.7478,0.18288,-1.0363,1
25.8,276.36,253.19,6.099,8.6441,-0.03048,-2.7127,1
25.9,276.97,254.05,6.096,8.3729,0,-3.6881,1
26,277.58,254.89,6.096,8.004,0,-2.6822,1
26.1,278.19,255.69,6.096,7.7358,0.03048,-0.9144,1
26.2,278.8,256.46,6.099,7.6444,-0.06096,-0.4572,1
26.3,279.41,257.23,6.093,7.5987,0.24384,-1.585,1
26.4,280.02,257.99,6.1173,7.4402,-0.39624,-4.0234,1
26.5,280.63,258.73,6.0777,7.0378,-0.82296,-3.5966,1
26.6,281.24,259.43,5.9954,6.6782,-0.3048,-4.511,1
26.7,281.84,260.1,5.9649,6.2271,0.27432,-1.6154,1
26.8,282.44,260.73,5.9924,6.0655,0.85344,1.0058,1
26.9,283.04,261.33,6.0777,6.1661,0.36576,2.1336,1
27,283.64,261.95,6.1143,6.3795,-0.18288,0.88392,1
27.1,284.25,262.59,6.096,6.4679,0,-1.2192,1
27.2,284.86,263.23,6.096,6.3459,0,-1.8288,1
27.3,285.47,263.87,6.096,6.1631,0,-1.0363,1
27.4,286.08,264.48,6.096,6.0594,0,0.12192,1
27.5,286.69,265.09,6.096,6.0716,0,0.73152,1
27.6,287.3,265.7,6.096,6.1448,-0.06096,-0.3048,1
27.7,287.91,266.31,6.0899,6.1143,0.18288,-1.8898,1
27.8,288.52,266.92,6.1082,5.9253,0.3048,-3.5052,1
27.9,289.13,267.52,6.1387,5.5748,-0.36576,-3.5662,1
28,289.75,268.07,6.1021,5.2182,-1.3106,-1.2192,1
28.1,290.36,268.59,5.971,5.0963,-2.286,1.0363,1
28.2,290.95,269.1,5.7424,5.1999,-2.7737,1.0363,1
28.3,291.53,269.62,5.4651,5.3035,-2.6213,-0.94488,1
28.4,292.07,270.15,5.2029,5.209,-2.7432,-2.5298,1
28.5,292.59,270.68,4.9286,4.956,-2.347,-1.0668,1
28.6,293.09,271.17,4.6939,4.8494,-1.2802,1.0363,1
28.7,293.56,271.66,4.5659,4.953,-0.36576,1.0058,1
28.8,294.01,272.15,4.5293,5.0536,0.27432,-0.88392,1
28.9,294.47,272.66,4.5568,4.9652,0.21336,-2.286,1
29,294.92,273.15,4.5781,4.7366,-0.06096,-1.6764,1
29.1,295.38,273.63,4.572,4.569,0,-0.42672,1
29.2,295.84,274.08,4.572,4.5263,0,0.3048,1
29.3,296.29,274.54,4.572,4.5568,0,0.21336,1
29.4,296.75,274.99,4.572,4.5781,0,-0.06096,1
29.5,297.21,275.45,4.572,4.572,-0.03048,0,1
29.6,297.67,275.91,4.569,4.572,0.06096,0,1
29.7,298.12,276.36,4.575,4.572,-0.03048,0,1
29.8,298.58,276.82,4.572,4.572,0,0,1
29.9,299.04,277.28,4.572,4.572,0,0,1
30,299.49,277.74,4.572,4.572,-0.06096,0,1
30.1,299.95,278.19,4.5659,4.572,0.03048,0,1
30.2,300.41,278.65,4.569,4.572,0.06096,0,1
30.3,300.87,279.11,4.575,4.572,0.27432,0,1
30.4,301.32,279.56,4.6025,4.572,0.36576,0,1
30.5,301.78,280.02,4.6391,4.572,0.21336,0,1
30.6,302.25,280.48,4.6604,4.572,0.09144,0.18288,1
30.7,302.71,280.94,4.6695,4.5903,0,-0.36576,1
30.8,303.18,281.4,4.6695,4.5537,-0.03048,-0.73152,1
30.9,303.65,281.85,4.6665,4.4806,-5.68E-12,-0.3048,1
31,304.11,282.3,4.6665,4.4501,-0.03048,0.3048,1
31.1,304.58,282.74,4.6634,4.4806,0.03048,0.73152,1
31.2,305.05,283.19,4.6665,4.5537,-5.68E-12,0.36576,1
31.3,305.51,283.65,4.6665,4.5903,5.68E-12,-0.21336,1
31.4,305.98,284.11,4.6665,4.569,-5.68E-12,0.03048,1
31.5,306.45,284.56,4.6665,4.572,0.03048,-0.03048,1
31.6,306.91,285.02,4.6695,4.569,-0.03048,0.1524,1
31.7,307.38,285.48,4.6665,4.5842,-0.03048,0.39624,1
31.8,307.85,285.94,4.6634,4.6238,-0.06096,-0.3048,1
31.9,308.31,286.4,4.6573,4.5933,-0.33528,-1.8898,1
32,308.78,286.86,4.6238,4.4044,-0.3048,-4.1453,1
32.1,309.24,287.3,4.5933,3.9898,-0.21336,-3.5966,1
32.2,309.7,287.7,4.572,3.6302,-0.06096,-4.1453,1
32.3,310.16,288.06,4.5659,3.2156,0.06096,-1.8898,1
32.4,310.61,288.38,4.572,3.0267,0,-0.3048,1
32.5,311.07,288.68,4.572,2.9962,0,0.39624,1
32.6,311.53,288.98,4.572,3.0358,0,0.1524,1
32.7,311.99,289.29,4.572,3.051,0,-0.03048,1
32.8,312.44,289.59,4.572,3.048,0,0,1
32.9,312.9,289.9,4.572,3.048,-0.03048,0,1
33,313.36,290.2,4.569,3.048,0.03048,0,1
33.1,313.81,290.51,4.572,3.048,0.03048,0,1
33.2,314.27,290.81,4.575,3.048,-0.06096,0,1
33.3,314.73,291.12,4.569,3.048,0.06096,0,1
33.4,315.19,291.42,4.575,3.048,-0.06096,0,1
33.5,315.64,291.73,4.569,3.048,0.06096,0,1
33.6,316.1,292.03,4.575,3.048,-0.06096,0,1
33.7,316.56,292.34,4.569,3.048,0.06096,0,1
33.8,317.01,292.64,4.575,3.048,-0.06096,0,1
33.9,317.47,292.95,4.569,3.048,0.06096,0,1
34,317.93,293.25,4.575,3.048,-0.06096,-0.03048,1
34.1,318.39,293.56,4.569,3.045,0.03048,0.03048,1
34.2,318.84,293.86,4.572,3.048,0.03048,0.03048,1
34.3,319.3,294.16,4.575,3.051,-0.03048,0,1
34.4,319.76,294.47,4.572,3.051,0,-0.1524,1
34.5,320.22,294.77,4.572,3.0358,0,-0.3048,1
34.6,320.67,295.08,4.572,3.0053,-0.03048,0.36576,1
34.7,321.13,295.38,4.569,3.0419,0.03048,1.3106,1
34.8,321.59,295.68,4.572,3.173,0.03048,2.286,1
34.9,322.04,296,4.575,3.4016,-0.06096,2.7737,1
35,322.5,296.34,4.569,3.6789,0.06096,2.6213,1
35.1,322.96,296.71,4.575,3.9411,-0.06096,2.7432,1
35.2,323.42,297.1,4.569,4.2154,0.06096,2.347,1
35.3,323.87,297.52,4.575,4.4501,-0.06096,1.2497,1
35.4,324.33,297.97,4.569,4.575,0.06096,0.4572,1
35.5,324.79,298.43,4.575,4.6208,-0.06096,0.09144,1
35.6,325.24,298.89,4.569,4.6299,0.06096,-0.39624,1
35.7,325.7,299.35,4.575,4.5903,-0.06096,-1.4326,1
35.8,326.16,299.81,4.569,4.447,0.06096,-2.8042,1
35.9,326.62,300.26,4.575,4.1666,-0.03048,-2.987,1
36,327.07,300.67,4.572,3.8679,-0.03048,-1.463,1
36.1,327.53,301.06,4.569,3.7216,0.03048,-0.03048,1
36.2,327.99,301.43,4.572,3.7186,0,0.6096,1
36.3,328.44,301.8,4.572,3.7795,0,0.36576,1
36.4,328.9,302.18,4.572,3.8161,0.03048,-0.06096,1
36.5,329.36,302.56,4.575,3.81,-0.03048,-0.09144,1
36.6,329.82,302.94,4.572,3.8009,0,0,1
36.7,330.27,303.32,4.572,3.8009,0,0.03048,1
36.8,330.73,303.7,4.572,3.8039,0,-0.03048,1
36.9,331.19,304.08,4.572,3.8009,0,0.03048,1
37,331.65,304.46,4.572,3.8039,0,-0.03048,1
37.1,332.1,304.84,4.572,3.8009,0,0.03048,1
37.2,332.56,305.22,4.572,3.8039,0,-0.03048,1
37.3,333.02,305.6,4.572,3.8009,0,0.03048,1
37.4,333.47,305.98,4.572,3.8039,0,0.06096,1
37.5,333.93,306.37,4.572,3.81,0,-0.27432,1
37.6,334.39,306.75,4.572,3.7826,0,-0.42672,1
37.7,334.85,307.12,4.572,3.7399,0,0.48768,1
37.8,335.3,307.5,4.572,3.7887,0,3.3223,1
37.9,335.76,307.88,4.572,4.1209,0,4.511,1
38,336.22,308.29,4.572,4.572,0,3.9929,1
38.1,336.67,308.75,4.572,4.9713,0,4.633,1
38.2,337.13,309.24,4.572,5.4346,0,2.9261,1
38.3,337.59,309.79,4.572,5.7272,0,0.4572,1
38.4,338.05,310.36,4.572,5.7729,0,-0.39624,1
38.5,338.5,310.94,4.572,5.7333,0,-0.24384,1
38.6,338.96,311.51,4.572,5.7089,0,0.06096,1
38.7,339.42,312.08,4.572,5.715,0,-5.68E-12,1
38.8,339.88,312.65,4.572,5.715,0,5.68E-12,1
38.9,340.33,313.22,4.572,5.715,0,0,1
39,340.79,313.8,4.572,5.715,0,0,1
39.1,341.25,314.37,4.572,5.715,0,-5.68E-12,1
39.2,341.7,314.94,4.572,5.715,0,5.68E-12,1
39.3,342.16,315.51,4.572,5.715,-0.03048,0,1
39.4,342.62,316.08,4.569,5.715,0.03048,0,1
39.5,343.08,316.65,4.572,5.715,0.03048,0.06096,1
39.6,343.53,317.22,4.575,5.7211,-0.06096,-0.3048,1
39.7,343.99,317.8,4.569,5.6906,0.06096,-0.33528,1
39.8,344.45,318.37,4.575,5.6571,-0.06096,0.82296,1
39.9,344.9,318.93,4.569,5.7394,0.06096,2.225,1
40,345.36,319.51,4.575,5.9619,-0.06096,2.8346,1
40.1,345.82,320.1,4.569,6.2454,0.03048,2.225,1
40.2,346.28,320.73,4.572,6.4679,0.03048,1.4326,1
40.3,346.73,321.37,4.575,6.6111,-0.03048,1.9202,1
40.4,347.19,322.03,4.572,6.8031,0,3.2004,1
40.5,347.65,322.71,4.572,7.1232,0,3.1699,1
40.6,348.1,323.43,4.572,7.4402,0,1.9202,1
40.7,348.56,324.17,4.572,7.6322,0,0.36576,1
40.8,349.02,324.93,4.572,7.6688,0,-0.39624,1
40.9,349.48,325.7,4.572,7.6291,0,-1.14E-11,1
41,349.93,326.46,4.572,7.6291,-0.03048,0.39624,1
41.1,350.39,327.23,4.569,7.6688,0.03048,-0.27432,1
41.2,350.85,327.99,4.572,7.6413,0.03048,-1.8898,1
41.3,351.3,328.76,4.575,7.4524,-0.06096,-4.1453,1
41.4,351.76,329.5,4.569,7.0378,0.06096,-3.6271,1
41.5,352.22,330.21,4.575,6.6751,-0.06096,-3.7795,1
41.6,352.68,330.87,4.569,6.2972,0.06096,-3.81,1
41.7,353.13,331.5,4.575,5.9162,-0.06096,-2.5298,1
41.8,353.59,332.1,4.569,5.6632,0.06096,-0.85344,1
41.9,354.05,332.66,4.575,5.5778,5.68E-12,1.2192,1
42,354.51,333.22,4.575,5.6998,-0.1524,2.286,1
42.1,354.96,333.79,4.5598,5.9284,-0.39624,1.8593,1
